in:Index,out:Result,out:EveningAverageSunhoursLoss,out:MaxSunhoursLoss,out:AverageSunhoursLoss,out:Volume,img
1398,1.5,0.138279,9,0.305171,185288.123031,{27;48}_OptimizationIsoViewSW.png
1399,2,0.161884,16,0.407411,220896.841175,{27;49}_OptimizationIsoViewSW.png
1400,1.25,0.10916,9,0.252504,157753.588894,{28;0}_OptimizationIsoViewSW.png
1401,2.25,0.177723,18,0.463341,225835.591689,{28;1}_OptimizationIsoViewSW.png
1402,1.5,0.106516,9,0.233626,151308.821304,{28;2}_OptimizationIsoViewSW.png
1403,2.75,0.182112,18,0.472541,238777.459408,{28;3}_OptimizationIsoViewSW.png
1404,1.75,0.102521,11,0.24699,148082.333778,{28;4}_OptimizationIsoViewSW.png
1405,3,0.199809,16,0.465986,229095.074456,{28;5}_OptimizationIsoViewSW.png
1406,3,0.199809,16,0.465986,229095.074456,{28;6}_OptimizationIsoViewSW.png
1407,2.75,0.184476,17,0.469615,235571.260306,{28;7}_OptimizationIsoViewSW.png
1408,2.25,0.167089,17,0.418383,222518.914108,{28;8}_OptimizationIsoViewSW.png
1409,2.5,0.177104,14,0.415963,222518.914108,{28;9}_OptimizationIsoViewSW.png
1410,2.75,0.174685,18,0.444829,235571.260306,{28;10}_OptimizationIsoViewSW.png
1411,1.5,0.144047,12,0.347147,188536.953243,{28;11}_OptimizationIsoViewSW.png
1412,2.25,0.15561,15,0.383159,212856.534696,{28;12}_OptimizationIsoViewSW.png
1413,2,0.126857,11,0.315637,186950.831931,{28;13}_OptimizationIsoViewSW.png
1414,2.25,0.167089,14,0.426542,217722.62138,{28;14}_OptimizationIsoViewSW.png
1415,2.75,0.165232,16,0.422547,224164.985429,{28;15}_OptimizationIsoViewSW.png
1416,2,0.114759,11,0.251491,159413.358839,{28;16}_OptimizationIsoViewSW.png
1417,1.75,0.106291,11,0.249634,151308.821304,{28;17}_OptimizationIsoViewSW.png
1418,2.25,0.15606,15,0.380571,216169.47687,{28;18}_OptimizationIsoViewSW.png
1419,1.25,0.109695,10,0.245077,154535.620461,{28;19}_OptimizationIsoViewSW.png
1420,2.25,0.150405,13,0.363324,209643.60587,{28;20}_OptimizationIsoViewSW.png
1421,2,0.163319,14,0.399167,211237.853823,{28;21}_OptimizationIsoViewSW.png
1422,1.75,0.124353,12,0.310123,193461.017605,{28;22}_OptimizationIsoViewSW.png
1423,2.25,0.116532,13,0.261873,165920.026547,{28;23}_OptimizationIsoViewSW.png
1424,2,0.111833,12,0.256808,161030.595813,{28;24}_OptimizationIsoViewSW.png
1425,2,0.123987,11,0.29071,183755.972069,{28;25}_OptimizationIsoViewSW.png
1426,1.25,0.12244,10,0.305115,178826.895565,{28;26}_OptimizationIsoViewSW.png
1427,1.5,0.122609,12,0.279597,173973.556019,{28;27}_OptimizationIsoViewSW.png
1428,1.25,0.10916,9,0.252504,157753.588894,{28;28}_OptimizationIsoViewSW.png
1429,2,0.161884,16,0.407411,220896.841175,{28;29}_OptimizationIsoViewSW.png
1430,2.75,0.164106,15,0.424291,222518.914108,{28;30}_OptimizationIsoViewSW.png
1431,2,0.145003,16,0.355137,207943.439384,{28;31}_OptimizationIsoViewSW.png
1432,2.75,0.161659,18,0.413713,222518.914108,{28;32}_OptimizationIsoViewSW.png
1433,2,0.12289,11,0.258271,165920.026547,{28;33}_OptimizationIsoViewSW.png
1434,1.5,0.106516,9,0.233626,151308.821304,{28;34}_OptimizationIsoViewSW.png
1435,1.5,0.114731,10,0.262098,162680.982593,{28;35}_OptimizationIsoViewSW.png
1436,2.25,0.118107,13,0.271298,167504.187605,{28;36}_OptimizationIsoViewSW.png
1437,1.75,0.124578,9,0.299263,183755.972069,{28;37}_OptimizationIsoViewSW.png
1438,1.25,0.122187,10,0.287081,173973.556019,{28;38}_OptimizationIsoViewSW.png
1439,1.75,0.148858,9,0.371117,199960.007998,{28;39}_OptimizationIsoViewSW.png
1440,1.75,0.122806,12,0.273661,169118.89058,{28;40}_OptimizationIsoViewSW.png
1441,1.75,0.138223,11,0.333558,203128.173878,{28;41}_OptimizationIsoViewSW.png
1442,1.75,0.133103,12,0.321376,196656.833825,{28;42}_OptimizationIsoViewSW.png
1443,2,0.137126,11,0.325653,190150.218673,{28;43}_OptimizationIsoViewSW.png
1444,1.5,0.117348,9,0.283705,175623.463295,{28;44}_OptimizationIsoViewSW.png
1445,1.75,0.103055,11,0.247524,149678.191887,{28;45}_OptimizationIsoViewSW.png
1446,2,0.10871,11,0.239956,154535.620461,{28;46}_OptimizationIsoViewSW.png
1447,2,0.152797,16,0.369823,216169.47687,{28;47}_OptimizationIsoViewSW.png
1448,2,0.130852,11,0.327228,193461.017605,{28;48}_OptimizationIsoViewSW.png
1449,1.75,0.139348,11,0.331645,196656.833825,{28;49}_OptimizationIsoViewSW.png
1450,1.25,0.109695,10,0.245077,154535.620461,{29;0}_OptimizationIsoViewSW.png
1451,1.25,0.098835,9,0.221219,146455.770357,{29;1}_OptimizationIsoViewSW.png
1452,1.25,0.095994,9,0.221359,152905.198777,{29;2}_OptimizationIsoViewSW.png
